year,medianHI,IncarcerationRate,total_pop
2003,0,NaN,0
2003,0,NaN,0
2003,0,NaN,0
2003,125,0.41937006724577747,231253033
2004,0,NaN,0
2004,204,0.1611792398836926,3127574
2004,131,0.38997982869535824,36679333
2004,101,0.5082286401663069,50460950
2004,227,0.134043863568534,2318644
2004,116,0.47394446457317513,76598637
2004,149,0.2882897478283369,23208595
2004,83,0.6172147713769114,21504346
2004,184,0.2280025365865289,7717458
2004,171,0.2141728959378116,15387568
2005,0,NaN,0
2005,0,NaN,0
2005,0,NaN,0
2005,0,NaN,0
2005,0,NaN,0
2005,222,0.15587884413658643,6610262
2005,183,0.2393800259316045,24357922
2005,124,0.4836591914512505,93272496
2005,97,0.5531886368357998,86030509
2005,150,0.338332740167501,42722735
2006,0,NaN,0
2006,0,NaN,0
2006,0,NaN,0
2006,0,NaN,0
2006,0,NaN,0
2006,0,NaN,0
2006,0,NaN,0
2006,191,0.2258777583297636,35011858
2006,137,0.43244776936473134,111435654
2006,102,0.5415958338174286,117461391
2007,0,NaN,0
2007,0,NaN,0
2007,0,NaN,0
2007,0,NaN,0
2007,0,NaN,0
2007,230,0.15813115655406573,5449274
2007,97,0.5648240330679413,88613439
2007,124,0.487234866374772,101506693
2007,152,0.3487617564039199,46713264
2007,186,0.22670493588678844,24780228
2008,0,NaN,0
2008,0,NaN,0
2008,0,NaN,0
2008,0,NaN,0
2008,0,NaN,0
2008,231,0.14442475820006337,5715779
2008,97,0.5746244289192229,95508818
2008,187,0.22659617766292875,25196365
2008,126,0.4694385472726224,100548198
2008,155,0.3319627848535502,42973793
2009,0,NaN,0
2009,0,NaN,0
2009,0,NaN,0
2009,0,NaN,0
2009,0,NaN,0
2009,0,NaN,0
2009,109,0.5003814645819946,79586681
2009,180,0.24694096378277586,53154405
2009,133,0.45011960420799657,85810526
2009,89,0.5827845673973905,46431909
2010,0,NaN,0
2010,0,NaN,0
2010,0,NaN,0
2010,110,0.48589060834160186,50059210
2010,98,0.5611553339772097,49974398
2010,174,0.2083557189574472,22577734
2010,126,0.4557382956656725,77684277
2010,82,0.5895231474235547,21979120
2010,150,0.3045899014098267,37667040
2010,204,0.1843745954449021,12923147
2011,0,NaN,0
2011,0,NaN,0
2011,0,NaN,0
2011,0,NaN,0
2011,0,NaN,0
2011,0,NaN,0
2011,158,0.26978608927564707,51706150
2011,198,0.16784946643416623,19583619
2011,121,0.44706867328647615,117628461
2011,95,0.561664544767598,88916419
2012,213,0.20231991276985714,3598756
2012,183,0.16164090423847183,14895982
2012,119,0.4376201711278123,79005042
2012,248,0.12226302932176068,421223
2012,83,0.6269167352175329,29812412
2012,201,0.17149427318543287,4368659
2012,135,0.34696437632286875,38777468
2012,222,0.11698492004607289,2107964
2012,159,0.25557195162394625,35894784
2012,101,0.5222816716973993,72213141
2013,76,0.6194199089417229,12646187
2013,150,0.3007905305204972,16367869
2013,109,0.5058612340921389,42547439
2013,238,0.1234879448313597,4240090
2013,98,0.5261588105713226,38416158
2013,135,0.3367798099767958,30300510
2013,167,0.2271339453022374,33628615
2013,89,0.5824780852765398,25628432
2013,196,0.1673340263545712,16730608
2013,121,0.43294633048948417,70239191
2014,77,0.5837366224788867,15845331
2014,103,0.511614629379973,31996544
2014,151,0.27229146483740035,18394260
2014,190,0.1350166085522334,10269107
2014,123,0.44810915230781034,50586782
2014,218,0.16989046433216784,5128010
2014,169,0.2240518620661974,29099959
2014,113,0.4375926329582031,44950254
2014,93,0.5442003870283219,41673436
2014,135,0.3205146013320185,26457141
